iter	Passed	Remaining
404	7481	10991
405	7496	10967
406	7516	10950
407	7531	10927
408	7548	10907
409	7562	10882
410	7577	10859
411	7591	10835
412	7607	10812
413	7626	10795
414	7653	10788
415	7675	10775
416	7707	10775
417	7733	10768
418	7755	10754
419	7779	10743
420	7800	10727
421	7815	10704
422	7836	10688
423	7857	10674
424	7885	10668
425	7909	10656
426	7932	10644
427	7956	10633
428	7985	10628
429	8009	10616
430	8028	10599
431	8048	10581
432	8071	10569
433	8095	10557
434	8125	10553
435	8143	10534
436	8158	10510
437	8174	10489
438	8189	10465
439	8205	10442
440	8224	10425
441	8242	10405
442	8264	10390
443	8289	10380
444	8318	10375
445	8339	10359
446	8370	10354
447	8395	10344
448	8416	10328
449	8437	10312
450	8457	10295
451	8471	10271
452	8486	10247
453	8501	10224
454	8517	10202
455	8533	10179
456	8547	10155
457	8562	10133
458	8594	10129
459	8610	10108
460	8625	10084
461	8644	10066
462	8664	10049
463	8686	10034
464	8712	10023
465	8738	10013
466	8760	9998
467	8782	9983
468	8807	9971
469	8840	9968
470	8864	9956
471	8884	9938
472	8900	9916
473	8917	9895
474	8935	9876
475	8952	9855
476	8972	9837
477	8993	9821
478	9017	9807
479	9050	9805
480	9076	9793
481	9099	9778
482	9120	9762
483	9143	9748
484	9164	9731
485	9185	9714
486	9204	9695
487	9224	9677
488	9243	9659
489	9263	9641
490	9280	9620
491	9295	9597
492	9311	9575
493	9325	9552
494	9346	9535
495	9362	9513
496	9378	9491
497	9394	9469
498	9414	9451
499	9435	9435
500	9461	9423
501	9490	9415
502	9518	9404
503	9539	9387
504	9562	9373
505	9590	9363
506	9616	9351
507	9641	9338
508	9663	9321
509	9678	9298
510	9693	9275
511	9712	9257
512	9733	9239
513	9755	9223
514	9779	9209
515	9799	9191
516	9818	9172
517	9839	9155
518	9858	9136
519	9880	9120
520	9903	9104
521	9923	9087
522	9949	9074
523	9973	9059
524	9993	9041
525	10012	9022
526	10026	8999
527	10041	8976
528	10056	8954
529	10076	8936
530	10094	8916
531	10118	8901
532	10137	8882
533	10157	8863
534	10177	8845
535	10198	8828
536	10217	8809
537	10238	8792
538	10259	8774
539	10278	8755
540	10295	8735
541	10314	8715
542	10333	8696
543	10352	8678
544	10371	8658
545	10391	8640
546	10411	8622
547	10432	8604
548	10451	8586
549	10471	8567
550	10490	8548
551	10508	8528
552	10531	8512
553	10553	8496
554	10574	8478
555	10598	8463
556	10618	8445
557	10638	8426
558	10657	8407
559	10674	8387
560	10690	8365
561	10706	8343
562	10722	8323
563	10738	8301
564	10754	8279
565	10770	8258
566	10787	8238
567	10804	8217
568	10819	8195
569	10835	8174
570	10850	8151
571	10865	8129
572	10882	8109
573	10896	8087
574	10912	8065
575	10929	8045
576	10944	8023
577	10963	8004
578	10985	7987
579	11012	7974
580	11039	7961
581	11073	7952
582	11111	7947
583	11157	7947
584	11184	7934
585	11205	7916
586	11226	7898
587	11248	7881
588	11269	7863
589	11293	7847
590	11321	7835
591	11357	7827
592	11384	7813
593	11408	7797
594	11428	7779
595	11450	7761
596	11470	7743
597	11492	7726
598	11512	7706
599	11530	7687
600	11550	7668
601	11570	7649
602	11601	7637
603	11639	7631
604	11654	7609
605	11669	7587
606	11685	7565
607	11705	7546
608	11727	7529
609	11755	7515
610	11787	7504
611	11826	7498
612	11882	7501
613	11924	7496
614	11941	7475
615	11962	7457
616	11982	7437
617	11996	7415
618	12012	7393
619	12027	7371
620	12044	7350
621	12065	7332
622	12094	7318
623	12144	7317
624	12178	7307
625	12204	7291
626	12230	7275
627	12252	7258
628	12270	7237
629	12290	7218
630	12326	7208
631	12364	7199
632	12412	7196
633	12446	7185
634	12473	7170
635	12500	7154
636	12518	7133
637	12542	7116
638	12564	7098
639	12592	7083
640	12625	7070
641	12668	7064
642	12700	7051
643	12726	7035
644	12759	7022
645	12790	7009
646	12818	6993
647	12843	6976
648	12875	6963
649	12916	6955
650	12950	6942
651	12973	6924
652	12996	6906
653	13016	6886
654	13044	6870
655	13065	6851
656	13082	6829
657	13110	6814
658	13141	6800
659	13167	6783
660	13190	6764
661	13209	6744
662	13227	6723
663	13246	6703
664	13271	6685
665	13289	6664
666	13305	6642
667	13320	6620
668	13336	6598
669	13355	6577
670	13376	6558
671	13408	6544
672	13449	6534
673	13481	6520
674	13512	6505
675	13531	6485
676	13546	6463
677	13561	6440
678	13577	6418
679	13596	6398
680	13616	6378
681	13641	6360
682	13662	6341
683	13682	6321
684	13704	6302
685	13731	6285
686	13749	6264
687	13766	6242
688	13782	6221
689	13798	6199
690	13815	6177
691	13832	6156
692	13861	6140
693	13882	6121
694	13904	6102
695	13925	6082
696	13945	6062
697	13970	6044
698	13989	6023
699	14005	6002
700	14020	5980
701	14036	5958
702	14052	5936
703	14067	5914
704	14081	5892
705	14098	5871
706	14115	5849
707	14138	5831
708	14160	5812
709	14184	5793
710	14210	5775
711	14232	5756
712	14248	5735
713	14263	5713
714	14278	5691
715	14294	5670
716	14311	5648
717	14326	5626
718	14341	5604
719	14359	5584
720	14377	5563
721	14398	5543
722	14432	5529
723	14454	5510
724	14476	5491
725	14492	5469
726	14507	5447
727	14523	5426
728	14540	5405
729	14555	5383
730	14572	5362
731	14586	5340
732	14607	5320
733	14627	5301
734	14656	5284
735	14688	5268
736	14709	5249
737	14730	5229
738	14750	5209
739	14767	5188
740	14785	5167
741	14800	5146
742	14815	5124
743	14832	5103
744	14855	5084
745	14877	5065
746	14905	5048
747	14930	5030
748	14949	5009
749	14968	4989
750	14988	4969
751	15009	4949
752	15027	4929
753	15042	4907
754	15059	4886
755	15079	4866
756	15100	4847
757	15124	4828
758	15145	4808
759	15165	4789
760	15189	4770
761	15209	4750
762	15228	4730
763	15244	4708
764	15259	4687
765	15281	4668
766	15300	4647
767	15320	4628
768	15339	4607
769	15360	4588
770	15382	4568
771	15403	4549
772	15423	4529
773	15442	4508
774	15457	4487
775	15482	4469
776	15499	4448
777	15514	4427
778	15529	4405
779	15547	4385
780	15565	4364
781	15585	4344
782	15612	4326
783	15632	4306
784	15651	4286
785	15670	4266
786	15684	4245
787	15700	4223
788	15722	4204
789	15739	4183
790	15756	4163
791	15770	4141
792	15788	4121
793	15807	4101
794	15834	4083
795	15858	4064
796	15878	4044
797	15898	4024
798	15916	4004
799	15937	3984
800	15956	3964
801	15972	3943
802	15988	3922
803	16003	3901
804	16020	3880
805	16036	3859
806	16053	3839
807	16080	3821
808	16105	3802
809	16128	3783
810	16148	3763
811	16172	3744
812	16191	3724
813	16207	3703
814	16222	3682
815	16240	3661
816	16256	3641
817	16271	3620
818	16290	3600
819	16312	3580
820	16334	3561
821	16359	3542
822	16379	3522
823	16395	3501
824	16410	3481
825	16429	3460
826	16447	3440
827	16465	3420
828	16480	3399
829	16495	3378
830	16510	3357
831	16525	3336
832	16540	3316
833	16554	3295
834	16570	3274
835	16591	3254
836	16614	3235
837	16631	3215
838	16647	3194
839	16669	3175
840	16692	3155
841	16718	3137
842	16738	3117
843	16758	3097
844	16774	3076
845	16790	3056
846	16806	3035
847	16825	3015
848	16844	2995
849	16865	2976
850	16883	2956
851	16902	2936
852	16924	2916
853	16949	2897
854	16969	2877
855	16988	2857
856	17003	2837
857	17018	2816
858	17033	2795
859	17049	2775
860	17068	2755
861	17087	2735
862	17108	2715
863	17129	2696
